county,state,lead_type,complete_county_total,pending_county_total,scrape_validation,portal_status
Jackson,MO,Tax Delinquent,99,0,PASS,Live (validated)
Jackson,MO,Sheriff Sale,99,0,FAIL,Partial
Jackson,MO,Probate,99,0,FAIL,Needs work
Jackson,MO,Pre-Foreclosure,99,0,FAIL,Needs work
Clay,MO,Tax Delinquent,0,5,SCRAPE_ONLY,Pending enrichment
Clay,MO,Sheriff Sale,0,5,SCRAPE_ONLY,Pending enrichment
Clay,MO,Probate,0,5,FAIL,In progress
Clay,MO,Pre-Foreclosure,0,5,FAIL,In progress
Platte,MO,Tax Delinquent,0,0,FAIL,Needs work
Platte,MO,Sheriff Sale,0,0,FAIL,Needs work
Platte,MO,Probate,0,0,FAIL,Needs work
Platte,MO,Pre-Foreclosure,0,0,FAIL,Needs work
Cass,MO,Tax Delinquent,17,10,PASS,Live (validated)
Cass,MO,Sheriff Sale,17,10,FAIL,Partial
Cass,MO,Probate,17,10,FAIL,In progress
Cass,MO,Pre-Foreclosure,17,10,FAIL,In progress
Hamilton,OH,Tax Delinquent,99,1,PASS,Live (validated)
Hamilton,OH,Sheriff Sale,99,1,FAIL,Partial
Hamilton,OH,Probate,99,1,FAIL,In progress
Hamilton,OH,Pre-Foreclosure,99,1,FAIL,In progress
Jefferson,AL,Tax Delinquent,0,27,FAIL,In progress
Jefferson,AL,Sheriff Sale,0,27,FAIL,In progress
Jefferson,AL,Probate,0,27,FAIL,In progress
Jefferson,AL,FSBO,0,27,SCRAPE_ONLY,Pending enrichment
Madison,AL,Tax Delinquent,16,47,PASS,Live (validated)
Madison,AL,Sheriff Sale,16,47,PASS,Live (validated)
Madison,AL,Probate,16,47,FAIL,In progress
Madison,AL,FSBO,16,47,SCRAPE_ONLY,Pending enrichment
Shelby,AL,Tax Delinquent,0,16,FAIL,In progress
Shelby,AL,Sheriff Sale,0,16,FAIL,In progress
Shelby,AL,Probate,0,16,FAIL,In progress
Shelby,AL,FSBO,0,16,SCRAPE_ONLY,Pending enrichment
Morgan,AL,Tax Delinquent,0,17,FAIL,In progress
Morgan,AL,Sheriff Sale,0,17,FAIL,In progress
Morgan,AL,Probate,0,17,FAIL,In progress
Morgan,AL,FSBO,0,17,SCRAPE_ONLY,Pending enrichment
Limestone,AL,Tax Delinquent,0,18,FAIL,In progress
Limestone,AL,Sheriff Sale,0,18,FAIL,In progress
Limestone,AL,Probate,0,18,FAIL,In progress
Limestone,AL,FSBO,0,18,SCRAPE_ONLY,Pending enrichment
Montgomery,AL,Tax Delinquent,0,13,FAIL,In progress
Montgomery,AL,Sheriff Sale,0,13,FAIL,In progress
Montgomery,AL,Probate,0,13,FAIL,In progress
Montgomery,AL,FSBO,0,13,SCRAPE_ONLY,Pending enrichment
Autauga,AL,Tax Delinquent,0,9,FAIL,In progress
Autauga,AL,Sheriff Sale,0,9,—,Pending enrichment
Autauga,AL,Probate,0,9,—,Pending enrichment
Autauga,AL,FSBO,0,9,—,Pending enrichment
Elmore,AL,Tax Delinquent,0,10,—,Pending enrichment
Elmore,AL,Sheriff Sale,0,10,—,Pending enrichment
Elmore,AL,Probate,0,10,—,Pending enrichment
Elmore,AL,FSBO,0,10,—,Pending enrichment
Horry,SC,Pre-Foreclosure,0,0,—,Needs work
Horry,SC,Tax Delinquent,0,0,—,Needs work
Horry,SC,Sheriff Sale,0,0,—,Needs work
Horry,SC,Probate,0,0,—,Needs work
Horry,SC,Foreclosure,0,0,—,Needs work
Georgetown,SC,Pre-Foreclosure,0,0,—,Needs work
Georgetown,SC,Tax Delinquent,0,0,—,Needs work
Georgetown,SC,Sheriff Sale,0,0,—,Needs work
Georgetown,SC,Probate,0,0,—,Needs work
Georgetown,SC,Foreclosure,0,0,—,Needs work
Marion,SC,Pre-Foreclosure,0,0,—,Needs work
Marion,SC,Tax Delinquent,0,0,—,Needs work
Marion,SC,Sheriff Sale,0,0,—,Needs work
Marion,SC,Probate,0,0,—,Needs work
Marion,SC,Foreclosure,0,0,—,Needs work
Dane,WI,Tax Delinquent,0,0,—,Needs work
Dane,WI,Sheriff Sale,0,0,—,Needs work
Dane,WI,Probate,0,0,—,Needs work
Dane,WI,Pre-Foreclosure,0,0,—,Needs work
Dane,WI,FSBO,0,0,—,Needs work
Rock,WI,Tax Delinquent,0,0,—,Needs work
Rock,WI,Sheriff Sale,0,0,—,Needs work
Rock,WI,Probate,0,0,—,Needs work
Rock,WI,Pre-Foreclosure,0,0,—,Needs work
Rock,WI,FSBO,0,0,—,Needs work
Door,WI,Tax Delinquent,0,0,—,Needs work
Door,WI,Sheriff Sale,0,0,—,Needs work
Door,WI,Probate,0,0,—,Needs work
Door,WI,Pre-Foreclosure,0,0,—,Needs work
Door,WI,FSBO,0,0,—,Needs work
