county,state,lead_type,scraped_total,saveable,errors,status,notes
Jackson,MO,Tax Delinquent,100,33,0,PASS,
Jackson,MO,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Jackson,MO,Probate,0,0,0,FAIL,zero scraped rows
Jackson,MO,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Clay,MO,Tax Delinquent,4,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Clay,MO,Sheriff Sale,1,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Clay,MO,Probate,0,0,0,FAIL,zero scraped rows
Clay,MO,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Platte,MO,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Platte,MO,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Platte,MO,Probate,0,0,0,FAIL,zero scraped rows
Platte,MO,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Cass,MO,Tax Delinquent,25,17,0,PASS,
Cass,MO,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Cass,MO,Probate,0,0,0,FAIL,zero scraped rows
Cass,MO,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Hamilton,OH,Tax Delinquent,100,98,0,PASS,
Hamilton,OH,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Hamilton,OH,Probate,0,0,0,FAIL,zero scraped rows
Hamilton,OH,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Jefferson,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Jefferson,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Jefferson,AL,Probate,0,0,0,FAIL,zero scraped rows
Jefferson,AL,FSBO,10,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Madison,AL,Tax Delinquent,100,31,0,PASS,
Madison,AL,Sheriff Sale,100,31,0,PASS,
Madison,AL,Probate,0,0,0,FAIL,zero scraped rows
Madison,AL,FSBO,15,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Shelby,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Shelby,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Shelby,AL,Probate,0,0,0,FAIL,zero scraped rows
Shelby,AL,FSBO,10,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Morgan,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Morgan,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Morgan,AL,Probate,0,0,0,FAIL,zero scraped rows
Morgan,AL,FSBO,15,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Limestone,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Limestone,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Limestone,AL,Probate,0,0,0,FAIL,zero scraped rows
Limestone,AL,FSBO,15,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Montgomery,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Montgomery,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Montgomery,AL,Probate,0,0,0,FAIL,zero scraped rows
Montgomery,AL,FSBO,9,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Autauga,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Autauga,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Autauga,AL,Probate,0,0,0,FAIL,zero scraped rows
Autauga,AL,FSBO,9,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Elmore,AL,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Elmore,AL,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Elmore,AL,Probate,0,0,0,FAIL,zero scraped rows
Elmore,AL,FSBO,9,0,0,SCRAPE_ONLY,scraped but not saveable after enrichment
Horry,SC,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Horry,SC,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Horry,SC,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Horry,SC,Probate,0,0,0,FAIL,zero scraped rows
Horry,SC,Foreclosure,0,0,0,FAIL,zero scraped rows
Georgetown,SC,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Georgetown,SC,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Georgetown,SC,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Georgetown,SC,Probate,0,0,0,FAIL,zero scraped rows
Georgetown,SC,Foreclosure,0,0,0,FAIL,zero scraped rows
Marion,SC,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Marion,SC,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Marion,SC,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Marion,SC,Probate,0,0,0,FAIL,zero scraped rows
Marion,SC,Foreclosure,0,0,0,FAIL,zero scraped rows
Dane,WI,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Dane,WI,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Dane,WI,Probate,0,0,0,FAIL,zero scraped rows
Dane,WI,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Dane,WI,FSBO,0,0,0,FAIL,zero scraped rows
Rock,WI,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Rock,WI,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Rock,WI,Probate,0,0,0,FAIL,zero scraped rows
Rock,WI,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Rock,WI,FSBO,0,0,0,FAIL,zero scraped rows
Door,WI,Tax Delinquent,0,0,0,FAIL,zero scraped rows
Door,WI,Sheriff Sale,0,0,0,FAIL,zero scraped rows
Door,WI,Probate,0,0,0,FAIL,zero scraped rows
Door,WI,Pre-Foreclosure,0,0,0,FAIL,zero scraped rows
Door,WI,FSBO,0,0,0,FAIL,zero scraped rows
